id,text,class
96722,"NOT ENOUGH STARS TO RATE THIS TRACK!!: I HAVE BEEN LOOKING FOR THIS SONG FOR MONTHS!! THIS SONG RANKS UP THERE WITH ARMAND VAN HELDEN'S ""YOU DON'T KNOW ME."" THIS HYPNOTIC DISCO-HOUSE GROOVE IS TRULY ONE OF THE ALL-TIME BEST!!!
",positive
4806,"still working: I've had this unit now for two years and it still works like a champ for an FM transmitter. There's static on some channels when I travel, but I'm competing against much higher bandwidth. Worth the money for someone looking to just enjoy their tunes without a full audio facelift.
",positive
60933,"The most horrible Blu-Ray: First, Night scenes, the video is bleeding and spots are everywhere almost like VHS tape.Day scenes are pretty good but not sharp enough to say wow it's blu-ray!Most of all worst then previously released normal DVDs.Sound. Also is the worst. Don't say that because this movie is old. Think about the movie 'Blade runner'.This doesn't has true HD Sound or PCM uncompressed Dolby Digital 5.1.I don't know why I bought this after reading other peoples' comments in this website.Trust me, just don't waste your money.
",negative
101607,"Disappointed: Definitely a guys movie. They could have done better with Chevy Chase and John Cusack in the movie. More time just being silly rather than reflecting the dramatic differences between growing up in the 1980's and now.
",negative
27712,"Dr Seuss!: How can you not rate a Dr Seuss item any other way but positive? This book is awesome and came in timely fashion and fantastic shape! Thanks!
",positive
159230,"Halle does it again!: Halle Berry delivers another ""Killer"" performance. Bruce Willis is a favorite of mine as well so this was quite the treat for me. Very smart & sexy film. Loved it!
",positive
275725,"APHEX AND KID606 are better: aphex twin and kid 606 are way better than this, this is way too boring, go buy Drukqs from Aphex twin. that'll impress you.madkatz
",negative
258836,"Disappointing: I've used rubik's cubes since the early 80s. I thought this would be a good purchase but the first one I bought broke the first day I had it. I exchanged it for a new one and with my treating it carefully, it has stayed together.However, the stickers are completely worthless. They didn't last 2 weeks before they started completely peeling off.These things aren't real cheap.I've had the same problem with ""modern"" 3x3x3 cubes. The stickers are worthless.I won't waste my money on another Rubik's product.
",negative
95184,"Way, WAY off: This is not $500 a ROLL. That is the case price.And to make matters worse, word on the street is 3M stopped certifying their product for nuke use. Basically, this is nothing more than high end duct. Plants now heavily use Nashua 357. There is some on the eVil auction site...Being in the duct tape business (I bet you didn't think there was anyone in the duct tape business) I know about this stuff. This posting is simply misinformation.Regular wholesale is about $12 a roll. Retail maybe a little more than that.
",negative
14267,"Not what I expected: I ordered this as a wedding gift for my cousin. When it came in, it was much smaller than expected and it had black goop on it that wouldn't come off. I immediately sent it back because it was so gross.
",negative
23214,"A woman's point of view is not enough: Just because the Old Testament is rarely approached from a woman's point of view does not, in itself, provide enough reason to recommend this book. It came highly recommended, and understandably so, given Diamant's ability to turn a phrase. The repeated descents into bestiality, vulgarity and abuse took the place of a plot, and ruined what might have otherwise been a remarkable book.
",negative
200665,"Trying to return and company won't respond: I bought three of these and I am trying to return them as they arrived after our vacation. Can NOT get company to respond to my emails as to how to return them. NOT happy with service.
",negative
172953,"ATEC Rubber Tee review: I am very disappointed with this tee. It broke the first day we used it and the rubber kept getting worse. I should have purchased the yellow one.
",negative
53010,"Its just not that good.: Well, one thing I will give Otep(the singer) credit is she has a very great growl, other then that it is just a poor quality album. Most of Otep Shamlay(?) vocals are either her moaning or giving us some female wigger rap hooks which makes her sound shameful, the guitarist offer nothing special, no solos, no strong lead guitar playing, bass is just there just really doing nothing, and the drummer is just blast beat yet no substance or quality drumming. Most of the songs try to be strong, plitical and sometimes its, oh, little poor me! writing, and she does it mostly moaning and then yelling and then whining. Overall this is really nothing special, if you want some good female fronted band, listen to Arch Enemy, Angela Gossow has better gutteral roars, Abbott Bros solo. and the bass is hearable and they have a great 2x kick drummer. Or listen to other death metal bands like, Venom, Celtic Frost, Obituary, Vader, Morbid Angel, Soilent Green, God Detroned and Nile instead.
",negative
159729,"So-so lock, horrible mounting bracket: The lock is OK, but the keys are flimsy and the locking mechanism is finnicky. I am always afraid the key is going to break off in the lock.Also, it is pretty small, so it cannot be used on bikes with wider tires in the recommended locking method (through rear tire and triangle on frame to bike rack). I'm sure it would be fine for bikes with narrow tires, except on very thick bike racks.The mounting bracket is horrible. It cannot be properly secured to a bike frame, and after removing it once, the release for the locking tab was shot. Good thing the lock is small, because now I have to keep it in a handlebar bag.
",negative
166170,"I Never Write Reviews... One Word WOW!!!!: I Must admit I'm a busy busy mom and never have time to write reviews but I had to set the time to do so..I recieved it yesterday and couldnt wait to slap it on. From pregnancy the Hormonal imbalance we get)I had several parts much darker ..(if you know what I mean) I was so self conscious about it! It lightened up the first day ! wow! Its worth every penny!
",positive
105311,"took to long to arrive: the item took almost three weeks to arrive and x men 2 froze in the last few minutes of the movie. other than that the other two are in new condition
",negative
89675,"A very uplifting book: I cannot recommend this book too highly... There is everything in it; love, joy, fulfillment, exhilaration, achievement, renewed faith... and also, despair, disappointments, loss of faith... all said in the inimical way of A.J.Cronin.. a real worhthwhile book!!
",positive
217912,"Holy crap. I can't believe this got 5 stars: I'm sorry to be the guy who places the seed of doubt in your mind. Perhaps i got a lemon, but this set of knives is one of the worst purchases i've made in several years. It's $29.99 for a reason. I can't complain about the knives being dull since they're so cheap, so i won't. But i can complain about the fact that they rusted within 2 weeks of owning them. Not to mention that I don't have a dishwasher so i hand washed them. To be fair, the serated knives are all pretty good as far as sharpness is concerned but they rusted like all the rest. I'm not sure if I got sent a different set than all of the reviewers who gave this 5 stars, but heed my warning--you get what you pay for. I swear I could make a better set of knives out of play-doh. Maybe farberware would give me another set if i harass them for a few weeks, but i think I'm better off cutting my losses (no pun intended) and buying a real set from Henckels.
",negative
47063,"Disappointing: I have been a HUGE fan of this show since the beginning. Season Three was the biggest disappointment. Meredith was annoying, Izzie pissed me off continually (and she is usually my FAV character), they introduced the Addison spin-off which I don't think I'll watch because I like her on Grey's and wish she would stay. I'm trying to review this without spoiling the plot for those who haven't yet seen it.The season finale was depressing. And not the good-depressing like the end of Season Two. This one just basically caused me to lose hope in the characters and in the story. Will I keep watching? Yes (yet reluctantly, I'm sad to say). There's a part of me that hopes next season redeems itself. But this season was such a downer and really annoyed me more than anything. I wouldn't buy it.
",negative
254031,"The far best: Review By Sonja Paul Twisted Summer By: Willo Davis Roberts So far, her best!This is the best book that I have read of Willo Davis Roberts! It is wonderful book full of twists and turns of mystery. A young girl CiCi goes to her Grandmother's cabin for the summer, thinking it would be the best summer of her life. As she find out, there was a MURDER last summer. During this summer of mysrery CiCi finds that the real killer is someone in her own family. Then after that, she finds out that it had to do something with her grandma! My favorite part of the book was when the judge went into the cabin.You will need to read the rest of the book to know and find out who was the murderer! Enjoy the twist and turns!
",positive
289693,"xcelite allen set: This was a very well made set of allen wrenches. I loved that they were kept in a nice, hard case. They fit into the handle and was easy to remove. I would give this set an ""A"".
",positive
139847,"Disappointed: The price of shipping was more than the lighter making for a product that looked good but turned out not to be worth the price.It's very hard to push the slider to cause the ignition. A child-protection device? I suppose but as an adult, I was not amused. It takes several tries to get it to ignite as well. At least my fingers get some excercise so all is not lost. Go for a cheaper item at your local $.99 store.
",negative
113310,"It is not the cheapest single pack of ramen available on Amazon!: If you love ramen noodles like I do, but have a difficult time finding tapioca ramen, then this may be the choice for you. For me, it is still too pricey, escpecially when I can get eight bags of beef, oriental, chicken, or even spicy ramen at the local grocery store for a dollar. Also, the bag looks to be a little crunched. However, if the shipping price is low enough, you may be able to buy a bag with your Burger King Amazon gift card.
",negative
265509,"forget this from Amazon: I ordered 4 of these for my deep kitchen cabinets....They arrived promptly and ALL 4 WERE BROKEN. They are made from plastic and although they are sturdy they are delicate because of the ball bearings. They were packaged poorly in a very large box, with a lot of room to shift during transit. Thus none survived and there was no hope for repair. I subsequently found them in a container store...for less money and they knew how to wrap them so they would not shift or knock against each other. I am now using them in my cabinets and they work just fine.
",negative
154585,"From Decent to Bad: I found the first half of Grave's book enjoying and convincing in using scientific analysis to make his point that race doesn't really exist in humans. He then takes that premise and goes nowhere with it while describing the ills of the myth. The scientific part of his reasoning wanes as he goes more and more into the socio-political aspects of our society.Credibility turned to incredibility as his pick and choose logic and statistics became more prevalent. He complains that before present day affirmative action, whites had it, but it was called something else and criticizes it. Fine, but he then goes on to support affirmative action. After convincing me that race is a myth, he himself subsequently claims that churches are ""racially segregated"". I would have appreciated more on solutions than beratement of well known inequalities.But who is to say, it may be that the 4 enlightning statements that I got out of the entire last half of the book may end up being worthwhile.
",negative
126910,"Not that good: I think oarnge rhyming dictionary is one of my best cd's. It ranges from crazy math rock to full blown emo to rock. This new album reminds me of listing to the radio. It has the same catchy lines and dumb lyrics as matchbox 20 and Sugar Ray. I was very disapointed with this album. So I think I'll give it to my little sister who likes to rock out to Matchbox 20 and then just pretend they broke up or something
",negative
202093,"finally: well this recording has been a long time coming and i must admit a little disappointment at not hearing the rediculous banter that also took part at the abrupt end of the live performance from when this took place. unfortunately, it is because of a lack of acknowledging all of our 1st amendment rights that many other unusual renditions of various songs includine a rare live ""romeo's distress"" were never performed and thus do not appear on this disc.recorded at a rare live performance between local philadelphia, pa native david e. williams and mister rozz williams himself. actually performed by the usual david e. williams live collective with rozz on vocal duties of course. the show was a treat and so is finally having the music to listen to all these years later.a testament to the variables which rozz threw at his fans and why many were never bored keeping up with his latest projects.a fresh look back on rozz and his amazing voice in music.
",positive
274809,"Absolute Junk: It will only keep a charge long enough to fly for about 3 minutes and it does not fly well at all. I saw this toy on a TV commercial and should have known better than to purchase it. Complete waste of money.
",negative
129359,"Beautifully Written, Beautifully Illustrated: Really, they should have a separate scale for Robin McKinley. _The Stone Fey_ is vividly written and illustrated, capturing one's imagination in the first page. It's particularly well suited for reading aloud &/or for a ""coffee table book"" -- eye catching, ear enthralling, and a dang good story.
",positive
2116,"Great cookbook: I purchased this book for my husband who worked for a couple of weeks in Trinidad. He was not able to buy a cookbook while there.I searched Amazon and bought the one and only Trindad cookbook, and it was a winner! He was very pleased that the recipes were for a lot of the food that he experienced.
",positive
169281,"Hardcore Police action movie: I found this to be a great movie.This is one type of movie I enjoy but yes its not for everyone.I thought it was well done and it is one of those movies you have to follow closely or you wont understand whats going on or why.That may one reason for some of the weaker reviews.
",positive
43087,"Disappointing performance. Not Even Average Sound Quality.: Purchased these looking for even average sound quality simply to have decent audio while not disturbing others either as they work or later in the evening when kids go to bed. Tried them on our old Toshiba set , which is quite old - but still working. No matter what channel- there is a constant crackling and hum att all distance ranges. I cannot get rid of this. I upgraded to a Samsung HD - LED system with a new, fairly high quality power strip with advanced filtering and surge protection. Among the numerous array of input/output connections, the Samsung actually has a phono out jack on the back allowing a direct and simple connection. Thought I'd give it a change with the new system> No difference whatsoever. I am not an audiophile so my expectations were modest. I still get static even when plugging into the output of the Korg 320 digital piano. To me this is unusable; I would not buy this unit again and will look for something else.
",negative
201833,"Disappoiting Theatrical Adaptation: Perhaps it is well that this version is not available. I have 24 different video versions of this great classic that I watch every year (as part of my Christmas tradition). But this 90 minute theatrical version is the hardest to watch. It's slow moving pace and harsh performance by Richard Hilger makes this version more of a chore than a pleasure of my Christmas tradtion.
",negative
16198,"Bad ending: This game is not bad for an older game. Not as good as other TR games. The biggest problem is that on the last level, there is a bug that makes it almost impossible to finish the game. Well I suppose I got 90% of the game...What's going on with Aspyr!?!?
",negative
69382,"a kaleidoscope of originality: When I listened to this cd on the first go round, I thought ""well, this is different, but it's all right"". Then I listened again, and fell all the way in love with it. Every song is different and unique, and these songs will NOT leave my head! The beats, the words, Kelis's powerful, well-trained voice. My two favorite songs on the album ""Get Along With YOu"" and ""Suspended"" both speak a wealth of emotion that is only realy apparent when you listen. I hope sincerely that Kelis is not one of those artists who disappear - she is a find!
",positive
104011,"Immediately Leaking Air: My Dad bought this for my daughter. It started leaking air from the right ear immediately on the first inflation. Would only stay up for less than 15 minutes. Even when fully inflated, the base is off-center, so the clown leans to one side. If you buy this, expect to have a disappointed young girl or boy who can't play with the fun toy they just opened.
",negative
64406,"Stroke wrist drop: I bought this to give my hand support. After my stroke, wrist drop prevented me from pinching. The brace is a little difficult to get on or off sometimes, as the velcro will stick very hard. The metal insert can be bent to change the amount of cock-up, but you have to stand on it. The mtal inserts are easily removable. The brace is comfortable, but I don't wear it for more than an hour at a time.
",positive
232497,"Not your typical SHAPE success: I love SHAPE's fitness DVDs & have owned their Bikini Body Boot Camp series for years & still love them! I bought this hoping for an update to add to my routine & was quite diappointed when I received this one.The workout is just okay - it felt really long due to lack of upbeat music, dark setting, & boring moves. The instructor really ruined it for me - not your lovable power team from before (Tracy York, Michelle Dozois, & Lisa Wheeler). The instructor is a pretty cold, militant woman with a body that looks like she should be training in the army, rather than a SHAPE bikini workout. I found her unmotivating & just wanted to turn it off so I didn't have to listen to her anymore. I tried to warm up to this DVD by giving it a few trys, but I really don't like it at all.I would recommend avoiding this one & sticking to the classic Bikini Body Boot Camp series which is truly the best value for your money!
",negative
85808,"Product was defective: Since I had earlier ordered a Palm Tungsten E2Handheld from Amazon before and it was in working condition upon arrival, I had the confidence that I could do the same for a gift purchase.However, when I received the product and gave it as a gift, it turned out that the receipient could not use it as the product was defective. The right hand side of the screen did not respond to taps by the stylus and could not scroll easily either. I was embarrassed by this as I had given the product as a gift.I have since returned the product via Customer Returns last Wednesday and would expect to have a full refund as soon as possible.
",negative
261258,"Works well when it works: I bought this printer in June of 2003, and have had to return it for a replacement three times! First time it lost communication with the black ink cartridge, second time, the replacement started printing crooked and it made a lot of noise. It also ate a page of labels which was a pain to clean out. The third printer I received wouldn't print the whole document. Just a portion would be printed and sometimes it would just eject a blank page. The instant support over the web was manned by people who spoke broken English, but they were prompt and polite (to be fair). I think that HP is having trouble producing commodity items of this sort. Buyer beware!
",negative
136296,"Seeing more than you imagined: A very thorough book on exegesis of the Bible. A great tool to realign traditional thinking that often misses the mark in understanding of the Bible. The principles of hermeneutics are well laid out and applied. This book will take you places you didn't know existed. The book covers from the creation of man to the afterlife.
",positive
42424,"Works great: We have a mix golden rescue that barks a lot! We've tried to train her since she was a puppy not to bark but nothing has worked. I brought the Cintronelle Anti-bark collar and it works great. After one or two barks, she will stop. Since having the collar, she has been pretty good about not barking. The reason why I'm not giving this 5 stars because you constantly have to refill the citronella and the battery has a very short life. In about 2 weeks, it died. I don't mind buying new batteries for it but I will have to order it online since it's not widely available. I would recommend the seller include a pack of batteries with the kit and charge a little more for it.
",positive
190444,"This book was not helpful at all.: This author may have a degree, but she advocates pornography as something liberating. Having a degree in Women Studies myself, I know that a majority of those women that are photographed are being sexually exploited. Some are threatened with a gun. Others resort to drugs and alcohol to lower the inhibitions. These women are runaways from incestuous homes. They are an easy target for the pimps and tricks. Advocating porn is like applauding sexual explotation of many women. If they freely would have chosen to work in the porn industry, they would not organize against it afterwards. She says the nudes she used to draw are not porn. To the contrary, they look like something that might appear in Hustler. Read ""Pornography: Men possessing women"" by Andrea Dworkin and decide for yourselves. She could have expressed her knowledge in less pages. Based on my experience, masturbation is very energy draining. It isn't sinful, but it might not be good for everybody.
",negative
82123,"Engrossing reading - not for pre and young teens.: I loved how Judy Bloom developed her characters. The approach really gave you insite into the ""lives"" and ""thought patterns"" of the characters. It was a different and re-freshing style. My 14 year old is anxious to read it, but I am discouraging her because I don't think she is ready for the level of detail of into the intimate relationships (not just the sex, but the whole concept of a growing, developing young adult romance)
",positive
222209,"Professional Service: Received the product very quickly. It was well packed. Will be using seller again. We have two of these printers and use a lot of toner. The generic toner cartridges just do not wor well in this printer.
",positive
281314,"True Horror!: Now this is true horror! I am though offended by a comment by a previous reviewer who stated that Texas Chainsaw Massacre, The Exorcist, and Salem's Lot were gore flicks. THEY AREN'T! Those that I have just listed are some of the scariest movies ever placed on screen. Anyway, this is allegedly based on a true story, it's about a girl who is raped repeatedly by a ghost. This will probably offend catholics. This movie is scary, but if you don't like movies that don't get to the point in the first 5 minutes of the movie, than this isn't the movie for you. Watch it alone in the dark, if you're brave enough!
",positive
124277,"Not a pleasure read: This is only the second Oprah book I have read and will, most certainly, be the last. I read for pleasure, to escape into different worlds and different lives and experiences, but not this different. There is enough ugliness in our everyday lives without crawling into bed to read about it at night. The incest element, a thread that ran throughout the whole book, was too much for me. I liked the style of traveling back and forth between the time frames, but everything was always so tragic - suicides, dead babies, incest, despair. It was too heavy for me - not at all the last thoughts I want going through my head at night. I, too, continued reading it, hoping there would be some redemption for this family. I wish I had thrown the book away after the first chapter.
",negative
77148,"Maybe 4 laughs...in 56 minutes: The first Star Wars ep was great...2nd was mediocre and this one is just awful...Seth Macfarlane continues his trend of doing a joke over and over and over again and fails to realize it wasn't funny in the first five seconds (there is one scene where they nod at each other endlessly).The first 25 minutes were pretty much laugh free...there are maybe 4 good jokes...I will say the computer animation and score (i.e. the original one) is fantastic. It's a real shame they couldn't hire a writer capable of producing anything remotely funny.
",negative
68673,"Good statistics book: I bought this book for a statistics class I am taking through work. I am only on the second chapter and I like it so far. I like the real world examples and practical explanations. I would recommend this for someone interested in a practical understanding of statistics.
",positive
269529,"It works!: I started taking it 2 weeks ago (2/day) since I heard that together with Ultra Inf-Zymes forte (2/day) - which I have been taking as well - it is good against endometriosis and PMS. And I got light pain during my last period and only few clots.I gave 4 stars since I am not sure if it would have worked the same way to correct my pattern if taken alone.I will definitely continue taking it and I would recommend it.
",positive
94717,"Was disappointed: With my PDA in the case the leather that holds it in got in the way if I wanted to to use the button furthest to the left to access datebook directly. Also felt too small, had to pull it tight to get it to snap. I sent it back.
",negative
27495,"A Great Collection from a Great Band: I am so ashamed of myself for not buying this CD earlier. This is a great collection with a good mix of music from an unappreciated band. I have been a fan since 1984 and have been in love with Morten Harket ever since they blew up in the states. Since then it has been harder and harder to purchase their stuff since they don't sell well in the U.S.My faves on this CD are The Sun Always Shines on TV, I've Been Losing You, The Living Daylights, Minor Earth Major Sky, and Lifelines.If you are a fan of the 80's or Adult Alternative Pop/Rock then pick up this great album and fall in love all over again with this band. They are working on a new album and I can only hope they throw the U.S. a bone and play a few dates here...please!
",positive
57247,"Peace at a time when Chaos reigned!: The book to read is ""The Next Place"". This was given to my daughter by the Scottish Rite Hospital in Atlanta, Georgia when her 7-month old son (my grandson) died after being comatose for 3-1/2 days. It doesn't lean one way or the other when it comes to religion, but lets us know the ""next place"" the child goes will be peaceful and beautiful and that while the child doesn't want to leave this earthly place and the ones he/she loves behind that the ones left behind should not worry because the child will be alright. God Bless My Daughter as she was able to read to her son one last time at his funeral about ""The Next Place"" he would go. (I don't think I could have done this without falling apart, yet, she did with the Grace of God.)
",positive
254972,"'Nuff said: This game is just a blast to play - by yourself, but especially with friends. The controls are easy to pick up, the game chatter is witty and flowing, and the gameplay graphics are outstanding. Stringing together long combinations for bonus points will keep you going for hours. ""Street"" has three different difficulty levels, so you can vary the challenge from the CPU, and on none of the levels are your players perfect, an annoyance found in other games. On top of this, the ability to build your own players and teams to compete against NBA legends really makes this the best basketball game ever.
",positive
167103,"Emergency Doctor: This book was mainly a teaching tool about the hospital noted int the title. Not a memoir about the life of an Emergency Room Doctor. Granted I did learn some new things, however if you have any medical training it is the same as what you were taught in classes.
",negative
5068,"Great storage case: I actually didn't get this for pistols. It works great to store our electronic depth sounder and fish finder with all its cables and attachments.
",positive
220583,"Awful: I did not like the movie it was a waste of my money, poorly mad and just plain boring . The acting was pretty bad just made no sense
",negative
56453,"Cool product design, problems with implementation: I love the design of this product. It's a USB key disk with a built-in MP3 player. It's tiny, and runs on a single AAA batter for several hours.Unfortunately, the firmware has trouble reading the filesystem properly, it seems. You can't, say, delete an MP3 and replace it with a different one. The player will begin jumping around between tracks and will then stop reading altogether. If you want to change some of the music on it, you need to reformat it and start from scratch. Similarly, you can't mix data files and MP3s. In part, I wanted to use the MuVo to shuttle files around, and it just isn't very good for that.
",negative
142359,"Soothing: This album is great for relaxing me. No matter how hard my day Simple Things makes it lighter. The female vocals have a unique and refreshing sound. Listen, relax and enjoy
",positive
94306,"LOL not even worth review: I've been a die hard David Gray fan and waited years for this album. As soon as it was released I got it. First few tracks ok then it takes a nose dive. Some of the tracks are so bad you are left awestruck that David Gray could produce such diabolical quality. I mean the odd track has lyrics that Britney Spears could exceed.I played it 3 times when I got it, and it is so bad that I would quite happy throw it in the trash can. Because he dared put out such rubbish it has put me off playing all his former (and great) albums.Be warned. I thought this 6 months back and only posted the review today, so my opinion is solid on this one. And watch the Sony copyright protection and link to fix it does not open your PC to all kinds of problems (have a Google and you will see it is a danger).
",negative
281984,"Promising but not quite: I received this as a gift last year. I primarily use it for running and, since it's small and lightweight, it works well for this. Except... it is very ""glitchy."" If I'm in voice record mode and want to go into MP3 listening mode, it locks up and I have to remove the battery and replace to reset it. Actually, when going from radio mode to MP3 it sometimes locks up also. I contacted Sandisk customer service and they were of no help. Suggested I take it back and get a replacement. Well, I did this twice and all three units did the same thing, which tells me that Sandisk has a design issue. As long as you just want to listen to music and don't want the voice functions and radio, it will work fine but just beware that it may lock up on you and then you'll have to remove the battery to reset.Speaking of battery, it's terrible. It takes one AAA and I might get 4-5 1-hour running sessions in before I need to replace it.I'd look elsewhere personally.
",negative
194910,"Mr Heater ""IT Works"": just got my Buddy, used it my garage with the 3"" by 3"" vent opening they suggest for Safety. It Works, & it does what it's supposed to do, take the chill out, I read ALL the Reviews, & they were helpfull. Be Carefull with Propane & use responsibly.GREAT Product! Gary P. NY
",positive
232896,"CRAZY!!!: D*m*! This book was...d*m*! You have to get this one! This woman(Bernadette Y. Connor) had my head so twisted that I just couldn't figure this one out! This story takes many twists and turns and will have you yearning for more at the end of each page. This was one of those books that was ""stuck to my fingers""!!!
",positive
200334,"ONE OF THE BEST ALBUMS OF THE YEAR: IF YOU ARE A TRUE R&B LOVER THEN YOU WILL LOVE THIS CD.FOR SURE GET GONE IS THE BOMB.BUT THEN YOU HAVE JEALOUS SKYS,WILL NEVER LET YOU GO,TELL ME WHY,AND I DONT MIND.THIS IS A VERY GOOD ALBUM FOR THIS TO BE THERE FREASHMAN ALBUM.TRULY NOT A WASTE OF MONEY CAUSE ALMOST HALF OF THE CD'S SONGS ARE HITS.THIS IS ONE MUST HAVE CD.
",positive
266238,"Battery Problems: After a year the battery failed. Installed a new one and it lasted less than 5 months. Only a fair watch/ monitor in my humble opinion.
",negative
260615,"for my 300zx: fits perfect. The only thing I hate about it is the 4 little slot holes in the back. Was it really necessary? That drops it down by 3 stars.
",negative
254234,"Entertaining: The title tells you everything you need to know. If it appeals to you, you will enjoy the movie. It it does not - well you probably won't, but then you would probably also not be reading this review!
",positive
169910,"Guilty Pleasure: I absolutely, positively love this show!!! The actors are phenomenal, the characters are great, the writing is engaging, the story is captivating. Did I mention how I love this show? :)
",positive
82520,"What my Dad wanted for Christmas: I haven't seen the DVDs, but my Dad loves them.He was surprised, because he couln't find them anywhere.
",positive
159732,"I Couldn't believe my eyes: It appears to be a good quality chair, but it is unbelievable HUGE. It is also heavy. It is not a chair you can easily move from place to place and it requires a much larger space than the average folding chair for storage. I decided I didn't want it and was shocked that it was going to cost me over $80 to return it plus there is a restocking fee. Think really carefully before purchasing this extremely oversized chair!
",negative
160211,"This book is actually ' Present of the Past': This is my first book by Elizabeth Adler and I love it.It is a gripping story full of strong emotions. I wonder why it has not been spotted by any film producer to make into a movie. I'm sure your readers would enjoy it.
",positive
151720,"Nice flow, Easy to install: Works great no issues the flow is nice nothing too special for me. It installs just like any other shower head. I did remove the flow restrictor.
",positive
246096,"for US only: I was very disappointed to see that the Kindle's wireless connection is not available outside the US. Getting newspapers and magazines, in addition to books, when I travel abroad was the main reason I got it. I still decided to keep it, it does what it's supposed to do well, but I need to connect it to a computer to download anything.
",negative
261765,"Semi Campy, sort of satire, overall fun: I have seen the original and I recently have seen the re make. Everyone takes the re make so serious this movie is fun and interesting. Sure it doens't quite make sense like how the women are robots but they are also human but this is Hollywood where things don't have to make perfect sense. Its a very enjoyable movie and I would reccomend it to people. My sense of humour is very dark and this is more on the lighter side but I still enjoyed it. Try renting it before you buy it (or since its so cheap on amazon.com used, buy it used for the price you'd pay to rent it!) Enjoy!
",positive
246147,"Superb Reading Device: I have owned my Kindle for about 8 months and I absolutely LOVE it. The only complaint I have is that the Kindle library only contains about 90% of my favorite books, but I believe that one day they will all be available.
",positive
84416,"This ain't football: EA still hasn't managed to put decent gameplay into its arcade title. this game might look like football in screenshots but it doesn't even come close to feel or look like it when you play it. go get a title from konamis Winning Eleven / Pro Evolutions Soccer series (WE6I or PES2). They are near perfection in terms of gameplay and realistic behavior and nothing comes close to them.
",negative
46533,"That can not be food.....: I bought this for my 4 yr old. I hid it from her after the second time she used it. I have no idea what is in those mixes, but it is the most foul tasting thing I've ever had. My daughter and I spend a lot of time in the kitchen and I've put up with some of her nasty tasting experiments for the sake of her self-esteem. There was no disguising my distate as I was running for the bin. The utensils/pans are worth keeping to play with, but I would suggest you find other uses for the food. P.S. The dog will NOT eat them.
",negative
157923,"wrong item: ordered 1980 video with simon jones. received different video. my fault for never returning wrong item.
",negative
70340,"great portable speaker system: it does all as advertised; and the vendor/manufacturer was very prompt in processing my order. i would definitely do business with this vendor again!
",positive
121411,"don't waste your money: this is a terrible product. The self contained battery quickly runs down & then the unit is worthless. There are similar products that cost about the same, have brighter lights & replaceable batteries
",negative
